No.,BugID,Status,Requirement Name,Summary,Steps to reproduce,Severity,Frequency,Priority,Attachment (Link to file),Date,Reporter,Build
11,BUG_SEC_004,New,Invoice Management,Invalid Token Format allows unauthorized access,"1. Send GET request to invoices endpoint
2. Include invalid format token (abc def)

Expected: 401 Unauthorized status code for invalid token format
Actual: 200 OK - Invoices retrieved (CRITICAL security flaw)",Block,Always,Immediate,N/A,2025-08-06,Test Automation Team,Sprint5
12,BUG_SEC_005,New,Invoice Management,Malformed Token allows unauthorized access,"1. Send GET request to invoices endpoint
2. Include malformed token (abc.def.ghi.jkl)

Expected: 401 Unauthorized status code for malformed token
Actual: 200 OK - Invoices retrieved (CRITICAL security flaw)",Block,Always,Immediate,N/A,2025-08-06,Test Automation Team,Sprint5
13,BUG_VAL_003,New,Product Management,Empty Description validation incorrect,"1. Send POST request to products endpoint
2. Include smartphone data without description

Expected: 201 Created (empty description should be allowed)
Actual: 422 Unprocessable Entity (incorrect validation)",Trivial,Always,Low,N/A,2025-08-06,Test Automation Team,Sprint5
14,BUG_ERR_001,New,Product Management,Invalid Category returns server error instead of validation error,"1. Send POST request to products endpoint
2. Include product data with invalid category ID (999)

Expected: 422 Unprocessable Entity for invalid category
Actual: 500 Internal Server Error (incorrect error handling)",Tweak,Always,Normal,N/A,2025-08-06,Test Automation Team,Sprint5
15,BUG_ERR_002,New,Product Management,Invalid Brand returns server error instead of validation error,"1. Send POST request to products endpoint
2. Include product data with invalid brand ID (999)

Expected: 422 Unprocessable Entity for invalid brand
Actual: 500 Internal Server Error (incorrect error handling)",Tweak,Always,Normal,N/A,2025-08-06,Test Automation Team,Sprint5
16,BUG_VAL_004,New,Product Management,Special Characters validation too permissive,"1. Send POST request to products endpoint
2. Include product data with special characters in name

Expected: 422 Unprocessable Entity (should validate special chars)
Actual: 201 Created (validation too lenient)",Trivial,Always,Low,N/A,2025-08-06,Test Automation Team,Sprint5
17,BUG_VAL_005,New,User Profile,Phone Number Length validation not enforced,"1. Send PUT request to profile endpoint
2. Include profile data with phone over 24 characters

Expected: 422 Unprocessable Entity for phone length validation
Actual: 200 OK (validation not enforced)",Tweak,Always,Normal,N/A,2025-08-06,Test Automation Team,Sprint5
18,BUG_ERR_003,New,User Profile,Invalid Date Format returns server error,"1. Send PUT request to profile endpoint
2. Include profile data with invalid date format (31-12-1990)

Expected: 422 Unprocessable Entity for invalid date format
Actual: 500 Internal Server Error (incorrect error handling)",Tweak,Always,Normal,N/A,2025-08-06,Test Automation Team,Sprint5
19,BUG_VAL_006,New,User Profile,Future Birth Date validation not enforced,"1. Send PUT request to profile endpoint
2. Include profile data with future birth date (2030-01-01)

Expected: 422 Unprocessable Entity for future birth date
Actual: 200 OK (validation not enforced)",Tweak,Always,Normal,N/A,2025-08-06,Test Automation Team,Sprint5
20,BUG_SEC_006,New,User Profile,SQL Injection vulnerability in profile update,"1. Send PUT request to profile endpoint
2. Include SQL injection payload in First Name field

Expected: 500 Internal Server Error (safe handling) or 422 Unprocessable Entity
Actual: 200 OK - Profile updated (CRITICAL SQL injection vulnerability)",Block,Always,Immediate,N/A,2025-08-06,Test Automation Team,Sprint5
